Planet name,Rp (Rearth),Rp err1 (Rearth),Rp err2 (Rearth),Mp (Mearth),Mp err1 (Mearth),Mp err2 (Mearth),P (days),a (AU),a err1 (AU),a err2 (AU),Kmag,a/Rs,a/Rs err1,a/Rs err2,Rp/Rs,Rp/Rs err1,Rp/Rs err2,stellar Teff (K),Rs (Rsun),Rs err1 (Rsun),Rs err2 (Rsun),Reference,Reference publication date,Archive release date,hasMass,noRadiusUncertainty,noMassUncertainty,noSemimajorAxisUncertainty,noStellarRadiusUncertainty,noARsUncertainty,noRpRsUncertainty,has_all_params_except_mass,Mass reference,Mass reference publication date,Mass archive release date,Non-mass reference,Non-mass reference publication date,Non-mass archive release date,Mdwarf?,Ls (Lsun),I (Iearth),IXUV (Iearth),vesc (km/s)
Kepler-1439 b,1.59,0.2,-0.19,3.6487002041479215,,,8.07394097,0.0594,,,12.744,11.67,5.8,-5.8,0.03663,0.001603,-0.007953,3675.0,0.39795093221839195,0.049,-0.049,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,2017-05-08,False,False,True,True,False,False,False,True,,,,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,2017-05-08,True,0.02588076282187556,55.485962660800006,497.04634159483857,16.945113611012694
Kepler-1582 b,0.79,0.12,-0.12,0.3932340345354171,,,4.83809469,0.0316,,,12.435,34.95,6.1,-6.1,0.036066,0.002674,-0.002052,3187.0,0.2008160561551928,0.03,-0.03,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,2017-05-08,False,False,True,True,False,False,False,True,,,,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,2017-05-08,True,0.003727466659417141,3.498882493881049,100.24924184977925,7.891979719703927
Kepler-1649 b,1.017,0.051,-0.051,0.9467586167513007,,,8.689099,,,,12.589,44.77,0.93,-0.93,0.0402,0.0018,-0.0018,3240.0,0.23193389455492056,0.0049,-0.0049,<a refstr=VANDERBURG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...893L..27V/abstract target=ref>Vanderburg et al. 2020</a>,2020-04-01,2020-04-23,False,False,True,True,False,False,False,True,,,,<a refstr=VANDERBURG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...893L..27V/abstract target=ref>Vanderburg et al. 2020</a>,2020-04-01,2020-04-23,True,0.005311254698611019,2.2777251425212914,52.7695072408967,10.792774754471221
Kepler-1350 c,1.4,0.14,-0.17,2.6433182320449253,,,1.766789509,0.0222,,,13.122,10.402,0.15,-0.15,0.028909,0.000972,-0.00096,3698.0,0.44398090007493857,0.043,-0.053,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,2017-05-08,False,False,True,True,False,False,False,True,,,,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,2017-05-08,True,0.033028195622142154,71.60269885963444,554.1131836747322,15.370382120151753
Kepler-1646 b,0.95,0.16,-0.12,0.7279225088623471,,,4.48559215,0.0295,,,12.029,39.8,10.9,-10.9,0.04497,0.001836,-0.003309,3236.0,0.19367342749536323,0.034,-0.025,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,2017-05-08,False,False,True,True,False,False,False,True,,,,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,2017-05-08,True,0.003685214531476987,2.8678958221804063,82.73432086856069,9.79162400663987
Kepler-1649 c,1.06,0.15,-0.1,1.0947906310468514,,,19.53527,,,,12.589,76.8,1.6,-1.6,0.042,0.0055,-0.0038,3240.0,0.2313800420184079,0.0049,-0.0049,<a refstr=VANDERBURG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...893L..27V/abstract target=ref>Vanderburg et al. 2020</a>,2020-04-01,2020-04-23,False,False,True,True,False,False,False,True,,,,<a refstr=VANDERBURG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...893L..27V/abstract target=ref>Vanderburg et al. 2020</a>,2020-04-01,2020-04-23,True,0.005285918689868425,0.7740215716578953,17.9837715672049,11.368065313437041
Kepler-155 b,1.73,0.28,-0.27,4.173127287513892,,,5.9311924,0.0526,0.0022,-0.0031,11.805,20.69,0.21,-0.49,0.03065,0.0002,-0.00023,4057.0,0.5174697236928658,0.045,-0.135,<a refstr=TORRES_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..264T/abstract target=ref>Torres et al. 2017</a>,2017-12-01,2017-11-17,False,False,True,False,False,False,False,True,,,,<a refstr=TORRES_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..264T/abstract target=ref>Torres et al. 2017</a>,2017-12-01,2017-11-17,True,0.06499479333516936,26.217695382044866,135.1659723256608,17.37327607150039
Kepler-1735 b,0.9,0.06,-0.07,0.6206982237967852,,,7.71790675,0.0621,,,12.247,32.37,3.5,-3.5,0.016108,0.000997,-0.000822,3975.0,0.5122361318351024,0.037,-0.037,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,2017-05-08,False,False,True,True,False,False,False,True,,,,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,2017-05-08,True,0.05869182267912408,9.87094192692281,54.101840387578356,9.289513136848118
Kepler-1749 b,1.36,0.07,-0.09,2.571916613289803,,,14.53410833,0.0956,,,11.809,22.7,11.1,-11.1,0.022589,0.004076,-0.002141,3957.0,0.5519645979004415,0.027,-0.039,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,2017-05-08,False,False,True,True,False,False,False,True,,,,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,2017-05-08,True,0.06692298361035022,19.71096788611989,99.8533807705085,15.382713247893598
Kepler-1741 b,1.01,0.11,-0.13,0.9100365034236604,,,2.757584622,0.0296,,,12.611,23.14,9.0,-9.0,0.021901,0.000626,-0.001319,3683.0,0.4227919885807257,0.045,-0.055,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,2017-05-08,False,False,True,True,False,False,False,True,,,,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,2017-05-08,True,0.02946788866939462,14.235595195717691,117.96854355690233,10.617998907250627
