Planet name,Rp (Rearth),Rp err1 (Rearth),Rp err2 (Rearth),Mp (Mearth),Mp err1 (Mearth),Mp err2 (Mearth),P (days),a (AU),a err1 (AU),a err2 (AU),Kmag,a/Rs,a/Rs err1,a/Rs err2,Rp/Rs,Rp/Rs err1,Rp/Rs err2,stellar Teff (K),Rs (Rsun),Rs err1 (Rsun),Rs err2 (Rsun),Reference,Reference publication date,Archive release date,hasMass,noRadiusUncertainty,noMassUncertainty,noSemimajorAxisUncertainty,noStellarRadiusUncertainty,noARsUncertainty,noRpRsUncertainty,has_all_params_except_mass,Mass reference,Mass reference publication date,Mass archive release date,Non-mass reference,Non-mass reference publication date,Non-mass archive release date,Mdwarf?,Ls (Lsun),I (Iearth),IXUV (Iearth),vesc (km/s)
GJ 3929 b,1.09,0.04,-0.04,1.75,0.44,-0.45,2.616235,0.0252,0.0005,-0.0005,7.869,16.8,0.5,-0.5,0.0156,0.0003,-0.0003,3384.0,0.6405768216982773,0.01,-0.01,<a refstr=BEARD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220710672B/abstract target=ref>Beard et al. 2022</a>,2022-07-01,2022-08-01,True,False,False,False,False,False,False,True,<a refstr=BEARD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220710672B/abstract target=ref>Beard et al. 2022</a>,2022-07-01,2022-08-01,<a refstr=BEARD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220710672B/abstract target=ref>Beard et al. 2022</a>,2022-07-01,2022-08-01,True,0.048211706545063404,19.24856321614781,118.71533299822177,14.173585635461244
HD 260655 c,1.533,0.051,-0.046,3.09,0.48,-0.48,5.70588,0.04749,0.00039,-0.00039,5.862,23.37,0.47,-0.47,0.032,0.001,-0.001,3803.0,0.4391991564091159,0.003,-0.003,<a refstr=LUQUE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220410261L/abstract target=ref>Luque et al. 2022</a>,2022-04-01,2022-06-27,True,False,False,False,False,False,False,True,<a refstr=LUQUE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220410261L/abstract target=ref>Luque et al. 2022</a>,2022-04-01,2022-06-27,<a refstr=LUQUE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220410261L/abstract target=ref>Luque et al. 2022</a>,2022-04-01,2022-06-27,True,0.036150719260527535,15.866580539178793,116.30896070636567,15.881156259747089
LHS 1140 b,1.73,0.025,-0.025,5.6,0.19,-0.19,24.73723,0.0946,0.0017,-0.0017,8.821,94.21974027991574,2.140292824386575,-2.140292824386575,0.0734620057052643,0.0014727392209684185,-0.0014727392209684185,3096.0,0.21589999999210172,0.003,-0.003,<a refstr=CADIEUX_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...960L...3C/abstract target=ref>Cadieux et al. 2024</a>,2024-01-01,2024-03-04,True,False,False,False,False,False,False,True,<a refstr=CADIEUX_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...960L...3C/abstract target=ref>Cadieux et al. 2024</a>,2024-01-01,2024-03-04,<a refstr=CADIEUX_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...960L...3C/abstract target=ref>Cadieux et al. 2024</a>,2024-01-01,2024-03-04,True,0.0038370524786018522,0.4287611886347514,12.073045095664066,20.125418429182556
LTT 1445 A b,1.34,0.11,-0.06,2.73,0.25,-0.23,5.3587635,0.0381,0.00067,-0.0007,6.496,30.231458048147104,1.2357531704119065,-2.191116900364805,0.0454,0.0012,-0.0012,3340.0,0.2705940645997007,0.019,-0.01,<a refstr=PASS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..171P/abstract target=ref>Pass et al. 2023</a>,2023-10-01,2024-07-22,True,False,False,False,False,False,False,True,<a refstr=PASS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..171P/abstract target=ref>Pass et al. 2023</a>,2023-10-01,2024-07-22,<a refstr=ODDO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..134O/abstract target=ref>Oddo et al. 2023</a>,2023-03-01,2023-08-22,True,0.008164151327976574,5.64109149749995,100.9756171792984,15.966248375068993
LTT 1445 A c,1.07,0.1,-0.07,1.37,0.19,-0.19,3.1238994,0.02659,0.00047,-0.00049,6.496,21.098542506567753,0.863255774447733,-1.5294771163392176,0.0362,0.0019,-0.0016,3340.0,0.27098454832448793,0.019,-0.01,<a refstr=PASS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..171P/abstract target=ref>Pass et al. 2023</a>,2023-10-01,2024-07-22,True,False,False,False,False,False,False,True,<a refstr=PASS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..171P/abstract target=ref>Pass et al. 2023</a>,2023-10-01,2024-07-22,<a refstr=WINTERS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210714737W/abstract target=ref>Winters et al. 2021</a>,2021-07-01,2022-01-24,True,0.008187731064961566,11.581809589584772,206.9561225653136,12.657337235800195
TOI-244 b,1.52,0.12,-0.12,2.68,0.3,-0.3,7.397225,0.0559,0.0013,-0.0013,7.97,28.1,1.8,-1.8,0.0326,0.0017,-0.0018,3433.0,0.42745982991246567,0.025,-0.025,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230504922C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2023</a>,2023-05-01,2023-10-09,True,False,False,False,False,False,False,True,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230504922C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2023</a>,2023-05-01,2023-10-09,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230504922C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2023</a>,2023-05-01,2023-10-09,True,0.022739163127688918,7.287491103533041,70.55265332662937,14.853183952125677
TOI-406 c,1.32,0.12,-0.12,2.08,0.23,-0.22,3.307441,0.0322,0.0013,-0.0013,8.848,17.6,1.1,-1.3,0.0297,0.0016,-0.0017,3392.0,0.40746170921480634,0.029,-0.027,<a refstr=LACEDELLI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240911083L/abstract target=ref>Lacedelli et al. 2024</a>,2024-09-01,2024-12-16,True,False,False,False,False,False,False,True,<a refstr=LACEDELLI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240911083L/abstract target=ref>Lacedelli et al. 2024</a>,2024-09-01,2024-12-16,<a refstr=LACEDELLI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240911083L/abstract target=ref>Lacedelli et al. 2024</a>,2024-09-01,2024-12-16,True,0.01969180950841282,17.70490098922688,186.86248793510325,14.041666646137928
TOI-771 b,1.36,0.1,-0.1,2.47,0.32,-0.31,2.3260155,0.0208,0.0009,-0.001,9.664,18.9,1.1,-1.1,0.05369,0.0008,-0.0008,3370.0,0.23222813004233703,0.017,-0.023,<a refstr=LACEDELLI_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250418223L/abstract target=ref>Lacedelli et al. 2025</a>,2025-04-01,2025-05-05,True,False,False,False,False,False,False,True,<a refstr=LACEDELLI_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250418223L/abstract target=ref>Lacedelli et al. 2025</a>,2025-04-01,2025-05-05,<a refstr=LACEDELLI_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250418223L/abstract target=ref>Lacedelli et al. 2025</a>,2025-04-01,2025-05-05,True,0.00623215003418239,14.958617557143011,314.8536401904923,15.074849293229677
TOI-198 b,1.36,0.13,-0.13,3.17,0.64,-0.65,10.215213,0.0675,0.0067,-0.0082,7.856,34.69,0.98,-1.93,0.02988,0.00087,-0.0008,3801.0,0.4172800636537174,0.029,-0.029,<a refstr=ZAPATERO_OSORIO_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...706A.166Z/abstract target=ref>Zapatero Osorio et al. 2026</a>,2026-02-01,2026-04-09,True,False,False,False,False,False,False,True,<a refstr=ZAPATERO_OSORIO_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...706A.166Z/abstract target=ref>Zapatero Osorio et al. 2026</a>,2026-02-01,2026-04-09,<a refstr=ZAPATERO_OSORIO_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...706A.166Z/abstract target=ref>Zapatero Osorio et al. 2026</a>,2026-02-01,2026-04-09,True,0.03256382383844007,7.185853227753317,56.08375771021041,17.077886919595482
