x,y
0.1,7.989714200950384e-08
0.10999549977498875,1.1695826407638945e-07
0.11999099954997751,1.6562501436336213e-07
0.12998649932496625,2.2809944894791713e-07
0.139981999099955,3.0677503210839425e-07
0.14997749887494377,4.0423663632397713e-07
0.1599729986499325,5.232605422746934e-07
0.16996849842492126,6.668144388414155e-07
0.17996399819991,8.380574231058592e-07
0.18995949797489875,1.0403400003505855e-06
0.1999549977498875,1.2772040840589986e-06
0.20995049752487627,1.5523829959153472e-06
0.219945997299865,1.8698014658047232e-06
0.22994149707485376,2.233575631813065e-06
0.23993699684984252,2.6480130402271532e-06
0.24993249662483125,3.117612645534612e-06
0.25992799639982,3.6470648104239127e-06
0.26992349617480876,4.241251305784368e-06
0.2799189959497975,4.905245310706135e-06
0.2899144957247862,5.644311412480213e-06
0.29990999549977504,6.46390560659846e-06
0.30990549527476374,7.369675296753546e-06
0.3199009950497525,8.367459294839023e-06
0.32989649482474126,9.463287820949265e-06
0.33989199459972996,1.0663382503379483e-05
0.3498874943747188,1.1974156378625768e-05
0.3598829941497075,1.3402213891385003e-05
0.3698784939246963,1.495435089455497e-05
0.379873993699685,1.663755464923424e-05
0.3898694934746737,1.8459003824722268e-05
0.3998649932496625,2.0426068498519367e-05
0.4098604930246512,2.2546310156326624e-05
0.41985599279964003,2.4827481692046064e-05
0.42985149257462874,2.7277527407780446e-05
0.43984699234961755,2.9904583013833507e-05
0.44984249212460625,3.271697562870968e-05
0.45983799189959496,3.5723223779114356e-05
0.46983349167458377,3.8932037399953766e-05
0.4798289914495725,4.235231783433487e-05
0.4898244912245613,4.599315783356564e-05
0.49981999099955,4.986384155715472e-05
0.5098154907745388,5.397384457281177e-05
0.5198109905495275,5.8332833856447124e-05
0.5298064903245162,6.295066779217208e-05
0.539801990099505,6.783739617229879e-05
0.5497974898744937,7.30032601973401e-05
0.5597929896494825,7.845869247600994e-05
0.5697884894244712,8.421431702522281e-05
0.57978398919946,9.028094927009424e-05
0.5897794889744488,9.666959604394064e-05
0.5997749887494375,0.00010339145558827903
0.6097704885244263,0.0001104579175528276
0.619765988299415,0.00011788056299550505
0.6297614880744037,0.0001256711643824311
0.6397569878493925,0.00013384168558792646
0.6497524876243812,0.00014240428189451235
0.65974798739937,0.0001513712999929111
0.6697434871743587,0.00016075527798204567
0.6797389869493474,0.00017056894536904006
0.6897344867243362,0.00018082522306921917
0.6997299864993249,0.00019153722340610837
0.7097254862743138,0.00020271825011143436
0.7197209860493025,0.0002143817983251241
0.7297164858242913,0.00022654155459530617
0.73971198559928,0.00023921139687830919
0.7497074853742687,0.0002524053945386631
0.7597029851492575,0.0002661378083490988
0.7696984849242462,0.0002804230904905475
0.779693984699235,0.0002952758845521418
0.7896894844742237,0.00031071102553121465
0.7996849842492125,0.0003267435398333004
0.8096804840242012,0.00034338864527213366
0.8196759837991899,0.0003606617510696503
0.8296714835741787,0.00037857845785598714
0.8396669833491675,0.0003971545576694811
0.8496624831241563,0.00041640603395667105
0.859657982899145,0.00043634906157229554
0.8696534826741337,0.0004570000067792948
0.8796489824491225,0.00047837542724880986
0.8896444822241112,0.000500492072060182
0.8996399819991,0.0005233668817009539
0.9096354817740887,0.0005470169880668688
0.9196309815490775,0.0005714597144618711
0.9296264813240662,0.0005967125755981054
0.9396219810990549,0.0006227932775959179
0.9496174808740437,0.0006497197179838555
0.9596129806490324,0.0006775099856986652
0.9696084804240213,0.0007061823610852961
0.97960398019901,0.0007357553158968967
0.9895994799739988,0.0007662475132948178
0.9995949797489875,0.0007976778078486096
1.0095904795239763,0.0008300652455360247
1.019585979298965,0.000863429063743015
1.0295814790739537,0.0008977886912637342
1.0395769788489426,0.0009331637483005375
1.0495724786239313,0.0009695740464639786
1.05956797839892,0.0010070395887728139
1.0695634781739087,0.0010455805696540004
1.0795589779488974,0.0010852173749426961
1.0895544777238864,0.0011259705818822603
1.099549977498875,0.0011678609591242502
1.1095454772738638,0.0012109094667284274
1.1195409770488527,0.0012551372561627537
1.1295364768238414,0.001300565670303389
1.13953197659883,0.0013472162434346974
